,ERN,H,XPR
2016-01-26,0,,-20.0
2016-01-27,0,-3.2669369701437523,-20.0
2016-01-28,0,-3.2669369701437523,-20.0
2016-01-29,0,-3.2669369701437523,-20.0
2016-02-01,0,-3.2669369701437523,-20.0
2016-02-02,0,-3.2669369701437523,-20.0
2016-02-03,0,-3.2694172098934815,-20.0
2016-02-04,0,-3.2694172098934815,-20.0
2016-02-05,0,-3.2694172098934815,-20.0
2016-02-08,0,-3.2694172098934815,-20.0
2016-02-09,0,-3.2694172098934815,-20.0
2016-02-10,0,-3.2747341325462678,-20.0
2016-02-11,0,-3.2747341325462678,-20.0
2016-02-12,0,-3.2747341325462678,-20.0
2016-02-15,0,-3.2747341325462678,-20.0
2016-02-16,0,-3.2747341325462678,-20.0
2016-02-17,0,-3.2800259706084183,-20.0
2016-02-18,0,-3.2800259706084183,-20.0
2016-02-19,0,-3.2800259706084183,-20.0
2016-02-22,0,-3.2800259706084183,-20.0
2016-02-23,0,-3.2800259706084183,-20.0
2016-02-24,0,-3.288522844975638,-20.0
2016-02-25,0,-3.288522844975638,-20.0
2016-02-26,0,-3.288522844975638,-20.0
2016-02-29,0,-3.288522844975638,-20.0
2016-03-01,0,-3.288522844975638,-20.0
2016-03-02,0,-3.304044504049665,-20.0
2016-03-03,0,-3.304044504049665,-20.0
2016-03-04,0,-3.304044504049665,-20.0
2016-03-07,0,-3.304044504049665,-20.0
2016-03-08,0,-3.304044504049665,-20.0
2016-03-09,0,-3.3142057923657493,-20.0
2016-03-10,0,-3.3142057923657493,-20.0
2016-03-11,0,-3.3142057923657493,-20.0
2016-03-14,0,-3.3142057923657493,-20.0
2016-03-15,0,-3.3142057923657493,-20.0
2016-03-16,0,-3.3226070463126534,-20.0
2016-03-17,0,-3.3226070463126534,-20.0
2016-03-18,0,-3.3226070463126534,-20.0
2016-03-21,0,-3.3226070463126534,-20.0
2016-03-22,0,-3.3226070463126534,-20.0
2016-03-23,0,-3.3285458926706992,-20.0
